Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Prosess-/fasiliteringsbistand,Prosessledelse og fasilitering,Helhetlig tilnærming med et bredde i verktøy og metoder.,Ukjent,"Utfordrer tradisjonelle tilnærminger; muligheter i skjæringspunktet mellom mennesker, teknologi og brukeropplevelse.",NVE,Offentlig og stat,2022
"Tjenesteansvarlig for kundeinformasjon, IKT",Lede agilt team,Erfaring fra ledelse av utviklingsteam eller andre team basert på smidige metoder. Erfaring med å jobbe i skjæringspunktet IKT og forretning. Minimum 3 års høyere utdanning. Minimum 10 års erfaring fra IKT prosjekter eller organisasjoner. Må kunne kommunisere godt både på norsk og engelsk,"IKT-utdanning. Arbeidserfaring fra organisasjoner i kollektivsektoren, helst jernbanesektoren","Gode lederegenskaper med evne til å motivere, inspirere og prioritere. Strukturert, systematisk og leveranseorientert. Evne til å jobbe målrettet, teamorientert og skape gode samarbeidsrelasjoner internt og eksternt. Gode samarbeids- og kommunikasjonsevner. Sterke samarbeidsevner og evne til å bygge relasjoner på tvers av nivåer og funksjoner. Evne til å lytte, bygge tillit og opptre som en strategisk sparringspartner for forretningsområdene. Selvstendig og initiativrik",BaneNOR,Offentlig og stat,2022
Virksomhetsutvikling og virksomhetsstyring for NVE,Virksomhetsarkitektur,"Utvikling og implementering av styringsmodell, herunder porteføljestyring, gevinstoppfølging og arbeidsprosesser på tvers i organisasjonen",Erfaring fra offentlig sektor og omfattende rådgivningskompetanse innen energi,"God forståelse for virksomhetsstyring i offentlig sektor, evne til helhetlig tilnærming og sterk kompetanse på styringsmodeller",NVE,Offentlig og stat,2022
Designkompetanse og tjenestedesign for NVE,Designkompetanse og tjenestedesign,"Spisskompetanse på designfaget, inkludert interaksjonsdesign, tjenestedesign og designtenkning",Erfaring fra store forvaltningsprosesser innen offentlig sektor,"Ekspertise i brukersentrisk og eksperimenterende tilnærming, evne til å lede gjennom faser av innsikt, analyse, og prototyping",NVE,Offentlig og stat,2022
Program- og prosjektledelse for NVE,Programledelse,"Kompetanse i å sette strategisk retning for digitaliseringsarbeidet, og se porteføljen av prosjekter i sammenheng",Bred erfaring fra direktorater og sammenlignbare virksomheter som NVE i offentlig sektor,"Sterk kompetanse i styring av program og prosjekter, evne til å sikre samarbeid og arbeidsdeling mellom prosjekter",NVE,Offentlig og stat,2022
Prosjektleder for program- og prosjektledelse og prosessledelse,Programledelse,"Erfaring med strategi, konsept og styringsmodellarbeid, samt koordinering og styring av leveransestrømmer, prosjekter og tiltak.",A-2 har omfattende erfaring med digitaliseringsprogrammer i offentlig sektor.,"God planlegging og gjennomføringsevne, evne til reorientering og reorganisering av pågående aktivitet.",NVE,Offentlig og stat,2022
Rolle innen virksomhetsutvikling og styring,Virksomhetsarkitektur,"Utvikling og implementering av styringsmodell, herunder porteføljestyring og gevinstoppfølging.",Erfaring med økonomiregelverket og overgang til SRS i statlige virksomheter.,"Evne til strategigjennomføring, etablering av klare føringer for virksomhetstransformasjon.",NVE,Offentlig og stat,2022
Sjefsarkitekt,Virksomhetsarkitektur,"Høyere utdanning fra universitet/høyskole (bachelor eller master), erfaring med ledelse (faglig/fagnettverk og/eller i linjeorganisasjon), lang erfaring med IT arkitekturarbeid, strategiutvikling/ledelse relevant for fagområdet, erfaring med arkitekturstandarder, erfaring med bygging av arkitektur-målbilder og målarkitektur.","Erfaring med ledelse/styring av arkitektteam, planlegging og re-planlegging av arkitektressurser, utvikling av arkitektur-tjenester og leveranser.","Evne til sette seg raskt inn i nye oppgaver, motivere, inspirere, prioritere, rolleforståelse, gode samarbeids- og kommunikasjonsevner, selvstendig, initiativrik, samvittighetsfull og med høy faglig integritet, analytiske evner og helhetsforståelse, evne til å arbeide målrettet.",BaneNOR,Offentlig og stat,2022
Prosjektkoordinator konvertering,Prosessledelse og fasilitering,Migrering/konvertering mellom IT-løsninger som involverer store datamengder. Bruk av Excel eller andre verktøy for konsolidering og vask av data.,Ønskelig med erfaring fra konvertering/migrering av data som inneholder person- og helseopplysninger. Erfaring fra apotek og/eller helsesektoren er en fordel.,"Selvgående og målrettet, tar eierskap til tildelte ansvarsområder. God på å kommunisere på tvers av yrkesgrupper og organisasjonen. God skriftlig og muntlig fremstillingsevne.",Sykehusapotekene,Helse,2023
Kvalitetssikrer,Offentlig kvalitetssikring,"Erfaring med å kartlegge og vurdere organisering samt styring av store digitaliseringsprosjekter, Erfaring med å kartlegge og vurdere metoder for kontinuerlig/smidig produktutvikling, Minimum 8 års prosjekterfaring, Erfaring med Statens prosjektmodell (KS-ordningen) (arbeidserfaring og/eller oppdrag for staten), For oppdrag 1 og 2 må det vises til tidligere gjennomførte kvalitetssikringer, For oppdrag 3 må det vises til tidligere gjennomførte tekniske kvalitetssikringer","Tekniske gjennomganger / teknisk kvalitetssikring fra offentlige IKT-prosjekter av stort omfang, Fordel med erfaring fra uavhengig kvalitetssikring som teknisk tredjepart, Erfaring med gjennomgang og oppfølging av arkitektur, drifts- og sikkerhetskrav, Bruk av verktøy for kodegjennomganger",,NAV,Offentlig og stat,2023
Støtte til produktområdeleder for PO Familie,Rådgivning forretning,"Lang og relevant erfaring fra arbeid med virksomhets – og organisasjonsutvikling. Erfaring med digital produktutvikling i team basert på smidige verdier og prinsipper. Erfaring med å etablere og lede tverrfaglige arbeidsgrupper, utfordre synspunkter, sikre felles mål. Erfaring med digitalisering av saksbehandling innen offentlig virksomhet.",Sjefskonsulent (minimum 8 års relevant erfaring i tillegg til relevant utdannelse).,"Samarbeider godt på flere nivå i virksomheten. Kommuniserer bruker- og forretningsbehov på en forståelig måte, på tvers av fagmiljøer. Skaper troverdighet, engasjement og påvirker gjennom måten man kommuniserer på. Være en god sparringpartner til produktområdeleder.",NAV,Offentlig og stat,2023
Prosessdriver/prosjektleder,Prosjektledelse,"Utdannelse på universitet/høgskole, tilsvarende mastergrad, Erfaring fra å lede prosesser, koordinere innspill og få til et godt samarbeid og dialog på tvers av ulike fagområder- og disipliner, Erfaring med å jobbe i skjæringslinjen mellom forretning og teknologi, Erfaring med utredninger og utredningsinstruksen etter metodikk fra DFØ eller Statens prosjektmodell (KS-ordningen), særlig forprosjekter.",Seniorkonsulent: Minimum 5 års relevant erfaring i tillegg til relevant utdannelse. Sjefskonsulent: Minimum 8 års relevant erfaring i tillegg til relevant utdannelse.,"Aktiv interessenthåndtering, god kommunikasjon og dialog på tvers, Sikring av prosjektgjennomføring i tråd med rammebetingelser, evne til å etablere felles arenaer for læring og innovasjon.",NAV,Offentlig og stat,2023
Medarbeider i forprosjektet,Prosjektledelse,"Utdannelse på universitet/høgskole, tilsvarende mastergrad. Erfaring med utredninger og utredningsinstruksen etter metodikk fra DFØ eller Statens prosjektmodell (KS-ordningen), særlig forprosjekter/styringsdokumentasjon og kostnadsestimering. Erfaring fra å jobbe på tvers av ulike fagområder- og disipliner. Erfaring med å jobbe i skjæringslinjen mellom forretning og teknologi.",Sjefskonsulent (minimum 8 års relevant erfaring).,,NAV,Offentlig og stat,2023
"Prosjektstøtte, implementering",Prosessledelse og fasilitering,"Har erfaring med implementering av organisasjons- og rutineendringer. Erfaring fra offentlig sektor, store organisasjoner og komplekse prosjekter.",Minimum 3 års relevant erfaring i tillegg til relevant utdannelse.,,NAV,Offentlig og stat,2023
Teknologi- og prosesskonsulent,Virksomhetsarkitektur,Erfaring med teknologisk innovasjon innen helsevesenet og prosessoptimalisering vha. automasjon og teknologi-utnyttelse.,"Over 20 års erfaring i IT-ledelse, løsningsarkitektur, og systemutvikling.",Sterke ferdigheter i å forstå og løse prosess- og IT-utfordringer.,Sykehuset i Vestfold HF,Helse,2023
Organisasjonskulturkonsulent,Endringsledelse,"Erfaring med å lede endringsprosesser i offentlig forvaltning, bygge kompetanse, skape engasjement for endring.",Mer enn 20 års erfaring innen organisasjons- og medarbeiderutvikling.,"Evne til å forene ulike interessentgrupper, sikre felles forståelse og støtte til endringsprosesser.",Sykehuset i Vestfold HF,Helse,2023
Ledelseskonsulent med fokus på virksomhetsstyring,Programledelse,Erfaring med virksomhetsstyring og god innsikt i styring av digitalisering i helsetjenesten.,Over 30 års erfaring med digitalisering i helse- og omsorgssektoren.,Gode lederegenskaper og evne til å navigere i et krevende miljø.,Sykehuset i Vestfold HF,Helse,2023
Rådgiver informasjonssikkerhet,Rådgivning teknisk,"Kompetanse på og erfaring med informasjonssikkerhetsarbeid i store og komplekse organisasjoner, helst også innenfor helsesektoren. Erfaring med utvikling/videreutvikling av styringssystem for informasjonssikkerhet og innføring av styringssystem i virksomheter. Kunnskap om Norm for informasjonssikkerhet og anerkjente standarder innenfor området (ISO 27001 eller tilsvarende). Kunnskap og erfaring med risikostyring for informasjonssikkerhet.","Erfaring med informasjonssikkerhet og risikostyring i større organisasjoner, med minst 5-7 års erfaring.","Evne til å kunne arbeide selvstendig, systematisk og målrettet. Evne til å samarbeide, motivere og skape gode interne og eksterne relasjoner. Evne til å undervise i og gi råd om IT-sikkerhetsarbeid. Analytisk og løsningsorientert. Gode skriftlige og muntlige kommunikasjonsegenskaper på norsk. Må kunne innfri krav til NSM sikkerhetsklarering for informasjon gradert HEMMELIG.",Helse Midt-Norge RHF,Helse,2023
Bistand MIM,Rådgivning teknisk,Relevant utdanning og sertifisering for oppgavene og relevante produkter. Sertifiseringer bør være bransjestandard.,Lengre erfaring fra oppgavene og relevante produkter. Lengre erfaring fra større driftsmiljø og fra prosjekt i større driftsmiljø. Dokumentert erfaring med Microsoft Identity Manager i spesialisthelsetjenesten er en fordel.,,Helse Nord IKT,Helse,2023
Prosjektleder,Prosjektledelse,"Ledelse, kommunikasjon, ryddighet, tydelighet, problemløsningsevner, teknisk kompetanse",Ukjent,"Evne til å drive prosesser smidig, kommunisere krav, holde orden, stille krav, finne løsninger, forstå tekniske aspekter",Helse Midt-Norge RHF,Helse,2023
Endringsleder,Endringsledelse,"Lederskap, motivasjon, empati, kommunikasjon, prosessledelse, tilpasningsevne","Erfaring fra endringsledelsesoppgaver i større IKT-prosjekt, erfaring med innføring av store IT-systemer innen spesialisthelsetjenesten, erfaring med Epic/Helseplattformen, kjennskap til spesialisthelsetjenesten og Helse Midt-Norge","Strukturert, metodisk, gode leder- og kommunikative egenskaper",Helse Midt-Norge RHF,Helse,2023
Prosessleder informasjonssikkerhet,Prosessledelse og fasilitering,Initiativrik og selvdreven person som også kan vise høy gjennomføringskraft. Erfaring med prosessledelse og koordinering av samarbeid mellom ulike aktører. Sterke mellommenneskelige ferdigheter. Inngående kunnskap og erfaring med informasjonssikkerhetsarbeid. Forståelse for krisehåndtering og evne til å utarbeide og gjennomføre beredskapsøvelser. Kjennskap til relevante standarder og retningslinjer innen informasjonssikkerhet og cybersikkerhet.,"Erfaring med prosessledelse i store og komplekse organisasjoner, helst også innen helsesektoren.",Gode skriftlige og muntlige kommunikasjonsegenskaper på norsk. Evne til å organisere og lede prosesser for å oppnå definerte mål. Evne til å oversette tekniske konsepter til forståelig informasjon for ikke-tekniske interessenter. Evne til å håndtere flere oppgaver samtidig og prioritere etter behov.,Helse Midt-Norge RHF,Helse,2023
Bistand – IKT-sikkerhet og ROS,Rådgivning teknisk,Erfaring fra gjennomføring av risikovurderinger innen personvern og informasjonssikkerhet. Erfaring fra IT-revisjon/internrevisjon iht. ISO27001 / NSM grunnprinsipper. Erfaring med møteledelse. Flytende norsk og engelsk skriftlig og muntlig.,Min. 5 - 7 års erfaring,,Helse Vest RHF,Helse,2023
"Prosjektledelse, kvalitetssikring av IKT-prosjekter og Prosess-støtte",Prosjektledelse,"Solid prosjektlederkompetanse, grunnleggende IKT-kompetanse, evne til å vurdere teknologi i sammenheng med strategi og brukerbehov, erfaring fra offentlige virksomheter.",8 års relevant erfaring for seniorrådgiver; 3-7 års for seniorkonsulent; 0-2 år for juniorkonsulent.,,Statsbygg,Offentlig og stat,2023
Prosessledelse og prosessforbedringer,Prosessledelse og fasilitering,"Analyse av arbeidsprosesser, etablere eller forbedre arbeidsprosesser, behovskartlegging, smidig tjenesteutvikling, kravspesifikasjon utarbeidelse.",,,Statsbygg,Offentlig og stat,2023
Kvalitetssikring av IKT-prosjekter,Offentlig kvalitetssikring,"Rådgivning og kvalitetssikring av IKT-prosjekter, informasjonssikkerhet, kontraktsrevisjoner.",,,Statsbygg,Offentlig og stat,2023
Konsulent MECM,Rådgivning teknisk,Relevant utdanning og sertifisering for oppgavene og relevante produkter. Sertifiseringer bør være bransjestandard.,Lengre erfaring fra oppgavene og relevante produkter. Lengre erfaring fra større driftsmiljø og fra prosjekt i større driftsmiljø. Dokumentert erfaring med Microsoft Identity Manager i spesialisthelsetjenesten er en fordel.,,Helse Nord IKT,Helse,2023
Prosjektleder vareflyt og logistikk,Prosjektledelse,"Senior prosjektleder med erfaring fra store og komplekse implementeringsprosjekter, dokumentert erfaring med endringsledelse og organisasjonsutvikling, erfaring fra logistikkutvikling i forbindelse med nye bygg og etablering av nye forsyningsløsninger, erfaring med spesialisthelsetjenesten og etablering av nye sykehus, erfaring med utvikling av ikke-medisinske tjenester på sykehus, bred og framtidsrettet dataledelse, logistikk- og vareflytskompetanse, dokumentert erfaring fra ledelse av team og fasilitering av behovs- og løsningsarbeidsmøter, PRINCE2 sertifisering, gode muntlige og skriftlige framstillingsevner.","Dokumentert erfaring fra store og komplekse implementeringsprosjekter, endringsledelse, organisasjonsutvikling, logistikkutvikling ved nye bygg, etablering av forsyningsløsninger, spesialisthelsetjenesten og nye sykehus, utvikling av ikke-medisinske tjenester på sykehus, erfaring med ledelse av team og fasilitering av behovs- og løsningsarbeidsmøter.","Utmerkede kommunikasjonsevner, evne til å skape et godt samarbeidsklima, gjennomføringskraft, leveranseevne og evne til å bygge og lede team.",Helse Sør-Øst RHF,Helse,2023
Agile coach,Lede agilt team,"Erfaring som agile coach eller lignende rolle, kunnskap om smidige metoder, erfaring med teamutvikling, god prosess- og forretningsforståelse, kompetanse innen fasilitering og coaching.",Erfaring som agile coach eller lignende rolle er viktig og vektes tungt. Erfaring med smidige metoder og teamutvikling.,"Høy grad av selvinnsikt, motivasjon for egen læring, empatisk, menneskefokus, god til å lytte, diplomatisk, utholdende, evne til å fremme endring.",Hemit,Helse,2023
Agile coach,Lede agilt team,Erfaring som agile coach eller lignende rolle er viktig og vektes tungt. Kunnskap om smidige metoder og best practice innen disse. Erfaring med teamutvikling. God prosess- og forretningsforståelse. Kompetanse innen fasilitering og coaching.,Erfaring som agile coach eller lignende rolle er viktig.,Høy grad av selvinnsikt og motivasjon for egen læring. Empatisk. Menneskefokus og god til å lytte. Diplomatisk og utholdende. Evne til å fremme endring og stå i situasjoner som trekker ut i tid.,Hemit HF,Helse,2023
Senior prosjektleder,Prosjektledelse,God kunnskap om IKT virksomheter herunder operasjonell drift. Kunnskap og erfaring fra ITIL4 og 'smidig tilnærming'.,Erfaring i prosessimplementering. Implementering av Request i et ITSM verktøy (erfaring med Service Manager er en fordel). Prosjektleder- eller delprosjektleder-erfaring.,"Lang og bred erfaring i tråd med kompetansekravene. Sterk kompetanse på operasjonell drift, ITIL og smidig tilnærming i prosjektarbeid.",Helse Nord IKT,Helse,2023
"Portefølje-, program- og prosjektleder",Programledelse,Formell kompetanse og erfaring som program- og prosjektleder. Erfaring med utvikling og innføring av store IT-system i offentlig sektor. Erfaring med å etablere metode og struktur for porteføljestyring av store prosjekter i offentlig sektor. Kjennskap til spesialisthelsetjenesten generelt og Helse Midt-Norge spesielt.,Erfaring med utvikling og innføring av store IT-system i offentlig sektor. Erfaring med å etablere metode og struktur for porteføljestyring av store prosjekter i offentlig sektor.,Gode kommunikasjonsevner rettet mot både senior stakeholdere og ansatte i organisasjonen. Samarbeidsorientert. Strukturert og metodisk.,Helse Midt-Norge RHF,Helse,2023
Prosjekt-prosessleder til arbeidet med nasjonal grunndata,Prosjektledelse,Dokumentert kunnskap om styringssystemer og prosesser som strekker seg på tvers av offentlig sektor. Innsikt i bruk av offentlige data og erfaring fra prosjekter/prosesser hvor data har vært en viktig komponent.,Relevant utdanning og minimum 5 års erfaring i/med offentlig forvaltning. Dokumentert erfaring fra å utvikle og implementere styringssystemer. Erfaring fra digitalisering av offentlig sektor.,Ingen spesifikke egenskaper nevnt.,Digitaliseringsdirektoratet,Offentlig og stat,2023
Systemutvikler,Utviklingsrolle,"God forståelse for helhetlige sikkerhetsløsninger, Back-end kompetanse, SQL Server, Kjennskap til Microsoft teknologi (C#/.Net, ASP.NET MVC, Entity Framework, Blazor), Kjennskap til lagdelte applikasjoner.","Utdannelse innen systemutvikling, Erfaring med smidige metoder, Erfaring fra lignende prosjekter, Kjennskap til spesialisthelsetjenesten er en fordel.","God til å kommunisere på Norsk, skriftlig og muntlig, Selvgående med evne til å ta initiativ, Teamorientert evne til å jobbe selvstendig, Evne til kreativ og samtidig systematisk tenking.",Hemit,Helse,2023
Assisterende prosjektleder Meldingsvarslingsprosjektet,Prosjektledelse,Prosjektledelse og teknologi. Må kunne samhandle effektivt med andre.,"Prosjektleder erfaring, erfaring fra Helse Vest, teknisk innsikt og kjennskap til Imatis-løsningen.","Flink til å samhandle, effektiv, ikke ta for mye plass.",Helse Vest RHF,Helse,2023
Prosjektleder for systemutvikling,Prosjektledelse,"Skal ha utdannelse innen systemutvikling og erfaring med smidige metoder, solid erfaring med prosjektledelse i systemutviklingsprosjekter, produktutvikling og produktledelse, erfaring med DevOps og kjennskap til lagdelte applikasjoner.",Min. 5 - 7 års erfaring innen relevant område.,"Ønsker å tilegne seg og dele kunnskap, generelt interessert i systemutvikling og teknologi, evne til å kommunisere rundt teknologi også med 'ikke-teknologer', selvgående med evne til å ta initiativ, teamorientert, evne til kreativ og systematisk tenking.",Helse Midt-Norge RHF,Helse,2023
Senior virksomhetsarkitekt,Virksomhetsarkitektur,"Kompetanse innen virksomhetsarkitektur, erfaring med TOGAF, arkitekturleveranser i konkrete prosjekter, kartlegging og modellering av kapabiliteter, prosjekt- og prosessledelse.","Erfaring fra implementering av virksomhetsarkitektur i virksomheter av tilsvarende størrelse som Statsbygg, kjennskap til bygg- og anleggsnæringen.","Utstrakt samarbeids- og rådgivningsevner. Gode samarbeids- og kommunikasjonsegenskaper, evne til å kombinere ledelse med innsikt i arkitektur og tekniske løsninger.",Statsbygg,Offentlig og stat,2023
Konsulent VMware Cloud Foundation,Løsningsarkitektur,"Kompetanse innen setup, konfigurasjon, drift og forvaltning av VMware Cloud Foundation, spesielt innen Aria og NSX. Sertifiseringer innen relevante områder.",Bred forståelse og kunnskap om kompleks IT-infrastruktur med minst 15 års erfaring innen IT infrastruktur og sikkerhet.,"Dyktig kommunikator, evne til å dele kunnskap internt og eksternt, samt å formidle komplekse løsninger til tekniske og ikke-tekniske interessenter.",Helse Midt-Norge RHF,Helse,2023
Softwaretester,Test og kvalitetsikring,"Utdannelse innen systemutvikling/IKT eller 2-4 års relevant erfaring. Kunnskap om testmetodikk, teknikker, relevante testverktøy, automatisering av test, og interaksjonsdesign. Erfaring med utviklingsverktøy fra Microsoft (Azure DevOps).",Erfaring fra lignende prosjekter er en fordel. Kjennskap til spesialisthelsetjenesten er en fordel.,"Løsningsorientert, strukturert, teamorientert, gode samarbeidsevner, evner å jobbe selvstendig, ser betydningen i å tilegne og dele kunnskap.",Helse Midt-Norge RHF,Helse,2024
Løsningsarkitekt LIBRA fase 2,Løsningsarkitektur,"Erfaring med versjonsoppgradering. Generelt god forståelse for IKT og muligheter knyttet til anvendelse av forretningsløsninger (SAP, andre tilsvarende ERP system) for å få effektive arbeidsprosesser. Generell forretningsforståelse innen fagområdene regnskap, budsjett, innkjøp og logistikk. Vedkomne må snakke og skrive flytende norsk.","Solid erfaring som løsningsarkitekt i store, komplekse organisasjoner. Erfaring med SAP og helst SAP S/4Hana Fiori. Mer enn 30 års erfaring som SAP applikasjonskonsulent.",Løsningsorientert. God kommunikasjonsevne. Evne til å samarbeide internt og med eksterne leverandører. Evne til å arbeide selvstendig.,Helse Vest RHF,Helse,2023
Løsningsarkitekt LIBRA fase 2,Løsningsarkitektur,"Erfaring med versjons oppgradering. Generelt god forståelse for IKT og muligheter knyttet til anvendelse av forretningsløsninger (SAP, andre tilsvarende ERP system) for å få effektive arbeidsprosesser. Generell forretningsforståelse innen fagområdene regnskap, budsjett, innkjøp og logistikk. Vedkomne må snakke og skrive flytende norsk.","Solid erfaring som løsningsarkitekt i store, komplekse organisasjoner. Erfaring med SAP og helst SAP S/4Hana Fiori.",Løsningsorientert. God kommunikasjonsevne. Evne til å samarbeide internt og med eksterne leverandører. Evne til å arbeide selvstendig.,Helse Vest RHF,Helse,2023
Prosjektleder for prosjekt Felles tilnærming til NSM 2.0,Prosjektledelse,"Senior erfaring som prosjektleder, fortrinnsvis innen spesialisthelsetjenesten. Erfaring fra å arbeide på tvers i større organisasjoner og med ulike fagmiljøer. Erfaring fra kartlegging av IKT-sikkerhet, evner til å strukturere, planlegge og rapportere iht. mal/metodikk.",Senior erfaring fortrinnsvis innen spesialisthelsetjenesten og offentlig sektor/helsesektoren.,"Gode muntlige og skriftlige kommunikasjonsferdigheter, evner å skape god dialog, gode samarbeidsevner, strukturert, evner til å arbeide selvstendig, trives med parallelle aktiviteter.",Helse Vest RHF,Helse,2023
Prosjektleder Fellesfunksjoner DGI,Prosjektledelse,"Erfaring som prosjektleder/leder, spesielt i offentlig sektor og med omfattende endringsledelse. Forståelse av organisatoriske strukturer og prosesser i kommunene. Evne til å lede og koordinere en prosjektgruppe bestående av representanter fra ulike kommuner. Erfaring med kartlegging og analyse av prosesser for effektivisering. Evne til å utarbeide og presentere rapporter og anbefalinger til ulike nivåer i organisasjonen.",Erfaring som prosjektleder/leder i offentlig sektor og med omfattende endringsledelse.,God kommunikasjons- og samarbeidsevner. Selvstendig og målrettet. Beslutningsdyktig og løsningsorientert. Evne til å håndtere usikkerhet og endringer i et komplekst prosjekt. God på risikostyring.,Øvre Romerike Innkjøpssamarbeid,Kommuner,2023
Prosjektleder /applikasjons-analytiker i Billing,Prosjektledelse,Meget god kompetanse og erfaring som prosjektleder. Relevant erfaring med Epic-implementeringer fra store og komplekse organisasjoner. Kompetanse på økonomifunksjonalitet i Epic er en fordel.,Erfaring fra Helseplattformen eller innføring av Epic Beaker i Helse Midt-Norge er en fordel. God IT-kompetanse. Relevant utdanning på universitets-/høyskolenivå.,"Skandinavisk språk. Beherske engelsk svært godt, både skriftlig og muntlig. Evne til å jobbe i team og med mange ulike profesjoner. Ryddig og strukturert. Behersker Microsoft Office meget godt.",Helse Midt-Norge RHF,Helse,2023
Prosjektleder for utbedring og oppgradering av WiFi,Prosjektledelse,"Kjennskap til offentlig sektor, offentlig anskaffelse, smidig/agil prosjektmetodikk, innledende kompetanse på nettverk (LAN/WLAN)",Dokumentert erfaring fra tilsvarende prosjekter,"Strukturert i sitt arbeid, håndterer godt flere prosesser samtidig",Bærum kommune,Kommuner,2023
Strategiutvikling og implementering,Virksomhetsarkitektur,Erfaring med strategisk ledelse og implementering av forbedringsprosesser,Flere års erfaring med strategiutvikling i helsesektoren,Sterke lederegenskaper og evne til å drive innovasjon,Sykehusinnkjøp,Helse,2024
Organisasjonsdesign – hensiktsmessig organisering,Rådgivning forretning,Kunnskap om organisasjonsstruktur og risikostyring,Dokumentert suksess med organisasjonsendringer,Sterk analytisk evne og kommunikasjonsevner,Sykehusinnkjøp,Helse,2024
"Forbedringsprosesser, innovasjon og kontinuerlig forbedring",Rådgivning teknisk,Ekspertise i Lean og Six Sigma metoder,Erfaring fra gjennomføring av forbedringsprosjekter i helseforetak,Kreativitet og resultatorientert,Sykehusinnkjøp,Helse,2024
Leder- og ledelsesutvikling,Endringsledelse,Erfaring med coaching og mentoring av ledere,Lang erfaring med lederutviklingsprogrammer,Empatisk og inspirerende,Sykehusinnkjøp,Helse,2024
Rådgiver for skadevurderinger og sikkerhetsloven,Rådgivning teknisk,"Erfaring og kunnskap om sikkerhetslovens oppbygning og bestemmelser. Inngående kunnskap med verdi og skadevurderinger i tilknytning til sikkerhetsloven. Inngående kunnskap om informasjonsteknologi og informasjonssikkerhet. Kunnskap om NSM sine grunnprinsipper for IKT-sikkerhet og andre relevante sikkerhetsstandarder. Kunnskap om beredskap og nødetater. Kunnskap om offentlige virksomheter, helsesektoren og prehospitale tjenester.",Konsulenten skal ha minimum 8 års erfaring som spesialist.,Personlig egnethet vurderes kun for konsulenter som innkalles til intervju.,Helse Sør-Øst RHF,Helse,2023
Prosjektleder for forvaltning av MTU og TU,Prosjektledelse,Relevant utdanning på bachelor eller masternivå. Dokumentert erfaring innen drift/forvaltning eller innføring av IKT-system. God forståelse og interesse for tekniske problemstillinger.,Minimum 2 års relevant erfaring.,,Helse Vest RHF,Helse,2023
Fagekspert EPP,Rådgivning teknisk,"Fagekspertise innenfor området EDR/XDR løsninger. Svært god erfaring med systemer/løsninger for endepunktsikkerhet, klientadministrasjon. Konsulenten bør kunne vise til solid erfaring på strategisk/taktisk nivå innenfor området. Formell kompetanse innen fagfeltet vil være en fordel.","Erfaring fra helhetlig sikkerhetsstyring. Erfaring fra offentlig sektor, fortrinnsvis helsesektoren. Erfaring med GAP-analyser.","Personlig egnethet vil vektlegges. God erfaring med behov og krav til prosesser og rutiner for automatisert respons. Løsningsorientert, strukturert og pliktoppfyllende.",Helse Nord IKT,Helse,2023
Fagekspert AD,Rådgivning teknisk,"Fagekspertise innenfor området Microsoft Active Directory. Svært god erfaring med katalogtjenester/Microsoft AD i store organisasjoner, herunder spesielt Microsoft og VMware. Konsulenten bør kunne vise til solid erfaring på strategisk/taktisk nivå innenfor området. Formell kompetanse innen fagfeltet vil være en fordel.","Erfaring fra helhetlig sikkerhetsstyring. Erfaring fra offentlig sektor, fortrinnsvis helsesektoren. Erfaring med GAP-analyser.",Personlig egnethet vil vektlegges. God erfaring med behov og krav til prosesser og rutiner for automatisert respons.,Helse Nord IKT,Helse,2023
M365-utvikler,Utviklingsrolle,"Dokumentert erfaring med Office 365 med hovedvekt på Power Automate, Forms, Sharepoint, Lists. Konsulent bør ha inngående kjennskap til disse systemene og være i stand til å bygge løsninger basert på disse.",Fortrinnsvis erfaring fra organisasjoner med stor brukermasse.,Personlig egnethet vil kunne vektlegges.,Helse Nord IKT,Helse,2023
Prosjektleder for IKT-utstyr til Hammerfest og Narvik,Prosjektledelse,"Dokumentert erfaring innen prosjektledelse i komplekse miljøer. Bør ha sertifiseringer som understøtter dette. Dokumentert erfaring fra prosjekter i offentlig sektor. Erfaring fra spesialisthelsetjenesten vil være en fordel. Dokumentert erfaring fra IKT-leveranser til byggeprosjekter, herunder sykehus, vil være en stor fordel. Erfaring og kjennskap til medisinteknisk utstyr og løsningsdesign vil være en fordel. Konsulenten bør ha økonomisk forståelse og erfaring fra anskaffelses- og evalueringsaktiviteter.","Min. 5-7 års erfaring for en seniorkonsulent, erfaring fra prosjekter i offentlig sektor, spesialisthelsetjenesten og IKT-leveranser til byggeprosjekter.","Gode kommunikasjonsevner, både muntlig og skriftlig. Selvstendig og strukturert, samt har evne til å håndtere mange leveranser i parallell. Gode samarbeidsegenskaper.",Helse Nord IKT,Helse,2023
